Activacion,Tokens Id,Context
1.6250352, —," the pool — ' Ahh , screw it , this is fun ! ' "" . Furtado said she considers herself "" all over the map "" and promiscuous musically because she is not"
1.5835035," ,"," for them , securing him to write many sections of their book , <unk> of the East . They also published his 1968 book Flames Over Persopolis , in which Wheeler discussed Persopolis and the Persian"
1.5820693," ,"," the battle , Howe defied naval convention by ordering his fleet to turn towards the French and for each of his vessels to rake and engage their immediate opponent . This unexpected order was not understood by all of his"
1.5787241," ,"," the world , particularly those specialising in rock and pop music , adopted the speaker as the standard . In excess of 200 @,@ 000 pairs were sold throughout the world . Gizmodo referred"
1.5777369," ,","c4 ! , winning ; <unk> hxg4 <unk> Nxf2 ! <unk> Bc2 , winning ; <unk> ! ? Rc2 ! with advantage"
1.5698178," ,"," competition , with several genera and species named by Cope and Marsh now regarded as synonyms of Allosaurus or A. fragilis . Since the description of Allosaurus , scientists have proposed additional"
1.5501798," ,"," in the failed 1977 department store competition , came forward on their own accord and contributed their ideas for a new Jewish center in Praška Street . <unk> 's vision was ultimately not accepted by"
1.5467398," ,","s Gizmo ! , and 1999 's Vaudeville , a documentary produced by <unk> @-@ TV that exhibits 90 vaudeville acts over a two @-@"
1.5460597," ,"," Terria , a "" highly illustrated stream @-@ of @-@ consciousness "" album , with Gene Hoglan on drums , Craig McFarland on bass and Jamie Meyer on keyboards . Townsend cited"
1.5365087, ;," title assigned ] ; archbishop of Vienna ; administrator of the see of <unk> 

 Antoine <unk> de Choiseul de Beaupré ( November 23 , 1761 ) –"
