Activacion,Tokens Id,Context
1.7032597, is," cm ( 0 @.@ 6 to 0 @.@ 8 in ) thick . The stalk is hollow and strongly wrinkled overall ; its shape is cylindrical below , but it gradually tapers"
1.6776596, a," buttresses . Seven windows run along each wall . A line of brick corbels runs along the walls below the eaves . Near the east end of the church , a short transept extends a"
1.6763864, is," The central shrine is a free @-@ standing square cell , with entrances on each of its sides . Each door is flanked by two <unk> ( gate keepers ) . The Linga ,"
1.6664222, a, southern door to the shrine . The southern gate statue has many unusual features – unusual headgear ; a large skull above the forehead ; lips parted with protruding teeth ; statues adorned with a single bead necklace
1.6633354, is," ( 128 ft ) deep from the front entrance to the back . The temple complex is the abode of Shiva , depicted in widely celebrated carvings which reveal his several forms and acts . 

"
1.6577886, lot," arms . Shiva is seated in padmasana yogic posture ( cross legged ) on a lotus carried by two Nāgas . His crown is carved with details adorned by a crescent ,"
1.6514238, a," partially submerged in the ground . As the fungus matures , a slender orange to pink colored stalk emerges that tapers evenly to a pointed tip . The stalk is covered with a foul @-@ smelling"
1.6477733, <," 1856 , who called it <unk> elegans . The genus name Mutinus refers to a phallic deity , Mutinus <unk> , one of the Roman di <unk> placated"
1.6477237, is,"ium cation is a good leaving group it gets expelled forming the ring . In the related Wittig reaction , the formation of the much stronger phosphorus @-@ oxygen double bond prevents <unk> formation"
1.647607, is," traces remain . The larger group of caves , which consists of five caves on the western hill of the island , is well known for its Hindu sculptures . The primary cave , numbered as Cave 1 , is"
