Activacion,Tokens Id,Context
2.3700447," ,"," , and then crouch on landing . If disturbed in the open , this crake will often run in a crouch for a short distance , with its neck stretched forward , then stand upright to watch"
2.3252773," ,"," the plain maskray is thin and diamond @-@ shaped with narrowly rounded outer corners , measuring 1 @.@ 1 – 1 @.@ 3 times longer than wide . The leading margins of the"
2.2618895," ,"," a prominent gap in the tooth row at the tip of the jaw , and a rear section greatly expanded and turned down . Later researchers suggested that the bone was pathologic , showing an injury to the living"
2.2484133," ,"," in diameter from tip to tip when expanded . The exoperidium is thick , and the rays are typically areolate ( divided into small areas by cracks and crevices ) on the upper surface ,"
2.2233436," ,"," – 1 @.@ 45 µm long , rounded at the tip , narrow , tapered , and sometime joined together at the top . The capillitia ( masses of thread @-@ like"
2.2207322," ,","
 The plain maskray generally hunts at the surface of the bottom substrate , rather than digging for prey . Its diet consists predominantly of caridean shrimp and polychaete worms . Small bony fishes"
2.2198393," ,"," body , with wide variation in shape due to the different conformation of their ancestors . Kaimanawa horses have a short , deep neck with a thick throat area , straight shoulders , a deep girth"
2.2060633," ,"," on an octagonal base , is 56 @.@ 88 meters ( 186 @.@ 6 ft ) tall . Its glazed tile bricks feature carved artwork of dancing figures , solemn ministers , and Buddhist"
2.205582," ,"," like shape around the eyes and a pair of small dark blotches behind the spiracles . The tail behind the stings has alternating black and white bands of variable width , ending with black at the tip"
2.1907482," ,","iting bodies are initially white and spherical or egg @-@ shaped , partially submerged in the ground , with dimensions of 2 to 3 cm ( 0 @.@ 8 to 1 @.@ 2 in"
