Activacion,Tokens Id,Context
0.17060712,7, 1 in ) / 55 B7 Pattern 1913 guns were removed . As completed her secondary armament was only four 30 @-@ caliber 76 @.@ 2 mm Lender AA guns mounted between her
0.16822869, service," his funeral service at Exeter Cathedral on 25 August , attended by over 1 @,@ 000 mourners . A private family service was held later . 
 = = = Posthumous recognition ="
0.1646727, 4," no direct freeway connection with Route 4 north . Shortly after exit 8 , the Route 4 designation ends and the mainline of the highway defaults onto I @-@ 95 north . 
 = = History ="
0.16358835, matches," family after matches while speaking to fans and the press . He wrote that "" I had the pleasure of interviewing Adam on a regular basis ... I say pleasure , because his answers were thoughtful and intelligent and he"
0.1612708, series," 2006 , she created the television series 30 Rock for Broadway Video , a situation comedy loosely based on her experiences at SNL . In the series , Fey portrays the head writer of a fictional sketch comedy series"
0.16011813,ws,"ilewska , Stanisław Wasilewski , Adam <unk> , Aleksander Weintraub and Bruno Winawer . 
 Other Polish writers , however , rejected"
0.16010353, Digital," greatest Indian movie in a Sky Digital poll of one million British Indians in 2004 . It was also included in Time Magazine 's "" Best of Bollywood "" list in 2010 , and in CNN @-"
0.15867966, 1982," to at least 1982 . 
 An astragalus ( ankle bone ) thought to belong to a species of Allosaurus was found at Cape Paterson , Victoria in Early Cretaceous beds in"
0.15771964, Prom," DH.60 Moth . Promoted flight lieutenant in February 1928 , he flew a Moth in the 1929 East @-@ West Air Race from Sydney to Perth , as part of the celebrations for"
0.15733743, help, street and help those in need . A gospel choir comes out of one of the buildings as the street becomes more crowded with people of all ages and backgrounds rejoicing and getting along with each other . One
