Activacion,Tokens Id,Context
0.12755293, Perhaps," Perhaps the self @-@ same song that found a path 65 
 Through the sad heart of Ruth , when , sick for home , 
 She stood in tears amid the alien corn ; "
0.12177493, doing," doing , Black can better react to the new situation "" ; and ( c ) because a draw is likely to be more acceptable to Black than to White , White is apt to avoid lines that allow draw"
0.12177493, doing," doing so , he produced his first publication , an academic paper on Colchester 's Roman <unk> Gate which was published in the Transactions of the Essex Archaeological Society in 1920 . He soon followed"
0.11959624,�,"� ) . The local population has been described as broadly "" working class "" ; the middle classes tending to live in outlying settlements . 
 Oldham , considered as a combination of the 2001 electoral"
0.11959624,�,"� ) in North Little Rock under the condition that the building and land be "" forever exclusively devoted to the uses and purposes of a public park "" for 1 @,@ 000 acres ( 4 km �"
0.11959624,�,"� ) in Big Rock Mountain on the north side of the Arkansas River , present day North Little Rock . That site later became Fort Logan H. Roots . All of the original buildings surrounding the Tower Building"
0.11959624,�,"�ณมิตร ) . Sri was the eldest of the 8 children of Phraya <unk> , ruler ( Chao Muang ) of the northern border city"
0.116368115,cake,"cake moved permanently to the Bronx Zoo on December 20 , 1982 . For a few years , she lived in a cage with Pansy , a chimpanzee . In June 1999 , Pattycake moved into"
0.11628845, questions, questions . Amulets and other images of protective deities were used to ward off the demons that might threaten human well @-@ being or to impart the god 's positive characteristics to the wearer .
0.11611532, show," show on prime @-@ time broadcast television "" . 
 After the PTC 's statement , Julianne Escobedo Shepherd of AlterNet wrote that the group seemed to employ a double standard"
