Activacion,Tokens Id,Context
1.7619953, policies," economic and social policies were basically progressive . 

 The novel 's title is taken from the popular Dominican merengue <unk> al chivo ( "" They Killed the Goat "" ) , which"
1.7341131, styles,"istorted guitars and toned @-@ down vocal styles not heard on previous albums . "" 

 King has since been critical of his performance , which he describes as his "" most lackluster . """
1.7306216, .," <unk> and Maria Konopnicka . Mere possession of such books was illegal and punishable by imprisonment . Door @-@ to @-@ door sale of books was banned , and book"
1.7273014, .,"omé . While his earlier comedies suffer from an unevenness resulting from the thematic clash between the trivial and the serious , Earnest achieves a pitch @-@ perfect style that allows these to"
1.7190822, genres," wide range of music genres , most prominently heavy metal . Townsend has cited , among others , Judas Priest , W.A.S.P. , Frank Zappa , Broadway musicals , AB"
1.7155907, genres," various emotions in the holidays . Wanting to stray away from her usual pop sound , she described Wrapped in Red 's music as a representation to explore different genres such as jazz , country and Memphis"
1.7101527, ., Ruy Lopez . After 1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 <unk> Nf6 5 @.@ 0 @-@
1.7030103, .," cartoonist Jacques Van Melkebeke . The first issue of Le Soir Jeunesse was published with a large announcement across the cover : "" Tintin et Milou sont <unk"
1.7019602, genres," explore other different genres . She remarked , "" I always get asked what genre I 'm in : ' Is this country or pop or rock ? What are you ? ' And what 's cool about"
1.7009933, .,"

 Abse , Tobias . Finkelstein 's Follies : The Dangers of Vulgar Anti @-@ Zionism ( review of The Holocaust Industry ) , <unk> ; accessed November"
