Activacion,Tokens Id,Context
1.7465581, Arrest," , "" I Want A Lover "" , "" A Man Could Get Arrested "" , "" I Get Excited "" , "" Two Divided by Zero "" , "" Rent "" , "" It 's"
1.7367812, reading," play after his release from prison , Wilde said : "" It was extraordinary reading the play over . How I used to toy with that Tiger Life . "" As one scholar has put it , the absolute necessity"
1.7195278, else," be included in the show , she described it as "" music @-@ based ... Everything else is just to keep it sophisticated and sensual and fun . "" Furtado said she hoped to have"
1.6834965, marks," Playschool pianos , acoustic guitars and sprightly beats to create laid @-@ back instrumentals guaranteed to sooth even the most restless of souls . [ ... ] What really marks Lemon Jelly"
1.6771472, Album," final single from the Waiting to Exhale : Original Soundtrack Album , the song debuted at number 60 on the Billboard Hot 100 , on the issue dated August 3 , 1996 . On the same issue"
1.6717212, Oath,"ア3 <unk> , lit . Valkyria of the Battlefield 3 : The Flower of the Nameless Oath ) , illustrated by Naoyuki Fujisawa and eventually released in two volumes after"
1.6685946, Everything," be included in the show , she described it as "" music @-@ based ... Everything else is just to keep it sophisticated and sensual and fun . "" Furtado said she hoped to have"
1.654001, moves," to be saying : ' I will copy all your good moves , and as soon as you make a bad move , I won 't copy you any more ! ' "" 

 Hodgson – Ar"
1.644022, Heads," a Job "" , George Harrison for "" When We Was Fab "" , the American rock band Talking Heads for Storytelling Giant , "" Weird Al "" Yankovic for "" Fat "" , and Neil Young"
1.6402802, creation," on different gods , each of which may act as creator deities . The eight gods of the <unk> , who represent the chaos that precedes creation , give birth to the sun god , who establishes"
