Activacion,Tokens Id,Context
1.7200679, will," to be saying : ' I will copy all your good moves , and as soon as you make a bad move , I won 't copy you any more ! ' "" 

 Hodgson – Ar"
1.6936629, would," ringing tones : "" No @-@ No ! Nonsense , absolute nonsense : I would have known "" . 

 A number of theories have also been put forward to explain the derivation of Bun"
1.6896139, would," , "" Yeah , I 've gotten myself into situations where I would not walk away and I 've pushed the envelope . Is that compulsive ? Yeah , it depends on how you look at it"
1.6797774, should," I don 't even think it should be reviewed or critiqued as a legitimate book . "" The book was also harshly criticized by Brown University Professor Omer Bartov and University of Chicago Professor Peter"
1.6643968," ,"," to be saying : ' I will copy all your good moves , and as soon as you make a bad move , I won 't copy you any more ! ' "" 

 Hodgson – Ar"
1.6398475, would," 

 According to Raul Hilberg , Finkelstein displays "" academic courage to speak the truth when no one else is out there to support him ... I would say that his place in the whole"
1.6289873, should,"umber sandwiches . Wilde told Robert Ross that the play 's theme was "" That we should treat all trivial things in life very seriously , and all serious things of life with a sincere and studied triviality"
1.5932015, should," had told Washington Wizards then @-@ owner Abe Pollin , "" If you can 't make a profit , you should sell your team . "" Jason Whitlock of <unk> called Jordan a"
1.5628049, would," he wants to . I would therefore say that White is in ' Zugzwang Lite ' and that he remains in this state for several moves . "" 10 . Nf3 d5 10 ..."
1.5560426, can," been speaking nothing but the truth . Can you forgive me ? 

 <unk> : I can . For I feel that you are sure to change . 

 In turn , both Gwendolen"
