Activacion,Tokens Id,Context
1.961655, Poland,jowa and the Government Delegation for Poland . <unk> <unk> Zakłady <unk> ( Secret Military Publishing House ) of Jerzy <unk> ( subordinated to the
1.9013518, treated," parricide , the murder of a spouse and procured abortion . "" 

 The Catechism states that the embryo "" must be treated from conception as a person "" . The Latin original of"
1.8993707, Poland,n Informacyjny of Armia Krajowa and Rzeczpospolita of the Government Delegation for Poland . In addition to publication of news ( from intercepted Western radio transmissions
1.8925884, being," being replaced by Sanford for just over three minutes . Columbus won the game 2 – 1 in a shootout , breaking a nine @-@ game losing streak to the Canucks . After the game , Arniel"
1.8925884, being, being serialized in Dengeki Maoh between 2011 and 2012 ; and Senjō no Valkyria 3 : <unk> Unmei no <unk> <unk> ( �
1.8925884, being," being a member of the musical groups The Bird and the Bee and <unk> Tah ( the first three being Lily Allen 's It 's Not Me , It 's You in 2009 , S"
1.8925884, being," being distributed in St. Croix . A large oil refinery , which produces 500 @,@ 000 barrels per day ( 79 @,@ 000 m3 / d ) , was shut down and only"
1.8925884, being," being considered for the role of Monica , but fought to play Rachel because she felt that the character suited her better . At one point , Cox had begun to regret her decision to play Monica until her own"
1.8925884, being," being removed from the herd . However , core animal welfare groups felt that shooting was the most humane option . Trial musters were conducted in 1993 , 1994 and 1995 , and were successful , although costly and"
1.8925884, being," being decommissioned in 1922 . Overhauled in 1931 , she returned to service with the United States Pacific Fleet on training and patrol for the next 10 years . She was present during the attack on"
