Activacion,Tokens Id,Context
1.8915809, the," and aphorisms with a life of their own , it 's the little things that make a difference . "" 


 = = = Characterisation = = = 


 Though Wilde deployed"
1.7614341, the," Livin ' the Dream = 


 "" Livin ' the Dream "" is the twenty @-@ first episode of the ninth season of the American comedy television series The Office and the 197th"
1.7236631, the," White fixed targets or that try to take the initiative prematurely . "" He also emphasizes that "" White has ' the initiative ' , not ' the advantage ' . Success with Black depends on seeing beyond the initiative"
1.7128135, the,"un Dhawan the following year . In July 2014 , Fernandez opened a restaurant in Colombo , <unk> Sutra , in collaboration with chef <unk> <unk> , which specialises in"
1.7059982, the," . 


 = = = Mechanical type and the advent of the typewriter = = = 


 Mechanical type systems introduced near the end of the 19th century , such as the Linotype"
1.7025416, the," surrounding the events of Trujillo 's regime allow a degree of freedom from the horrors that took places . Author Julia Alvarez contends that these events can "" only finally be understood by fiction , only finally"
1.7018256, the,"unk> or <unk> , the slaying of the demon Andhaka by Shiva , Shiva @-@ Parvati on Mount Kailash ( the abode of Shiva ) , and <unk"
1.7016548, the,"urium and the yeast Candida albicans . 



 = The Boat Race 1900 = 


 The 57th Boat Race took place on 31 March 1900 . Held annually , the Boat"
1.6996776, the," "" Livin ' the Dream "" originally aired on May 2 , 2013 on NBC . In its original American broadcast , "" Livin ' the Dream "" was viewed by an estimated 3 @.@ 51"
1.6931278, the,"@ <unk> ) standard , the CAA also issues UK @-@ specific national licences . In the absence of European standards for <unk> , balloon , and airship pilots , the C"
