Activacion,Tokens Id,Context
1.8802383, derivatives,"unk> with substituted benzaldehyde derivatives . The attempted Wittig @-@ like reaction failed and a <unk> oxide was obtained instead , noting that "" Reaction between the sulfur <unk> and <"
1.7449756, lines, their <unk> and antitumor properties . Extracts from A. hygrometricus containing the polysaccharide named AE2 were found to inhibit the growth of several tumor cell lines
1.740403, classes," The new building was completed and opened for classes in August 1954 ; the old school , which had begun life as the first St. Leonard 's Church , was demolished that fall , and its site became"
1.7379543, batteries,"atory furnaces . 


 = = Applications = = 


 About 60 % of antimony is consumed in flame retardants , and 20 % is used in alloys for batteries , plain"
1.7280436, grains," any conspiracy theory , it contains several grains of truth ; and like any such theory , it is both irrational and insidious . 

 Finkelstein has accused journalist Jeffrey Goldberg of "" torturing "" or"
1.709732, demons," At the back of the portico , near the east end , is a gigantic statue of a four @-@ armed doorkeeper with two attendant demons . At the north end is a standing figure holding"
1.7049794, attendants," is a plantain with three leaves already open and one opening , as well as a sunflower blossom . These are flanked by two attendants . Other figures discerned from a study of the broken images"
1.7027737, settlements," Durban . There , Wheeler visited the local kraals to compare them with the settlements of Iron Age Britain . The ship docked in Aden , where Wheeler and his men again took shore leave ."
1.6946115, employees," the municipal judge . The city 's Tax Collector is determined by the city council and is outsourced to Galveston County . The city manager hires employees , promotes development , presents and administers the"
1.6895798,unks, prefers fruiting in microhabitats with thin <unk> duff near standing burned tree trunks . Geopyxis carbonaria fruitbodies are often found in the same post @-
